epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,514.276,0.87628,0.62113,1.039,0.89726,0.87847,0.91992,0.64698,1.05372,0.56692,1.05837,0.00053225,0.00053225,0.00053225
60,522.113,0.88424,0.62154,1.05536,0.91865,0.87928,0.92462,0.66053,1.01607,0.54975,1.04212,0.000519875,0.000519875,0.000519875
61,531.363,0.87726,0.60698,1.04023,0.92176,0.88023,0.93062,0.67347,0.99496,0.54395,1.04495,0.0005075,0.0005075,0.0005075
62,539.386,0.89592,0.63218,1.05076,0.917,0.87716,0.93101,0.67953,0.96834,0.55282,1.04245,0.000495125,0.000495125,0.000495125
63,547.946,0.88444,0.65034,1.05506,0.89659,0.86075,0.92357,0.68503,0.92684,0.55047,1.02473,0.00048275,0.00048275,0.00048275
64,556.91,0.89536,0.63046,1.05106,0.90902,0.88388,0.92675,0.68311,0.95156,0.54608,1.03656,0.000470375,0.000470375,0.000470375
65,564.457,0.86682,0.60641,1.0393,0.9014,0.88373,0.92064,0.685,0.90678,0.55167,1.01643,0.000458,0.000458,0.000458
66,573.008,0.89892,0.65622,1.05821,0.92356,0.8799,0.93139,0.66393,1.01026,0.54818,1.04401,0.000445625,0.000445625,0.000445625
67,581.728,0.85901,0.61434,1.03559,0.89556,0.86912,0.92554,0.68721,0.91728,0.54106,1.02318,0.00043325,0.00043325,0.00043325
68,590.804,0.86016,0.62097,1.04265,0.91,0.87342,0.92405,0.69308,0.91138,0.51671,1.01647,0.000420875,0.000420875,0.000420875
69,599.154,0.86227,0.61692,1.03756,0.92109,0.87241,0.92227,0.69541,0.89597,0.52562,1.01173,0.0004085,0.0004085,0.0004085
70,607.308,0.84423,0.58953,1.03682,0.92034,0.85977,0.92303,0.69041,0.90158,0.53147,1.01557,0.000396125,0.000396125,0.000396125
71,615.721,0.8498,0.5925,1.03094,0.93953,0.84793,0.93075,0.69447,0.91067,0.5279,1.01621,0.00038375,0.00038375,0.00038375
72,623.281,0.84816,0.57307,1.02381,0.94473,0.85279,0.93025,0.68546,0.94814,0.52768,1.03106,0.000371375,0.000371375,0.000371375
73,630.941,0.85533,0.58561,1.02936,0.92568,0.85923,0.92638,0.69501,0.90871,0.52487,1.01712,0.000359,0.000359,0.000359
74,639.853,0.86729,0.59203,1.02519,0.95357,0.83936,0.92375,0.70791,0.86438,0.513,1.00923,0.000346625,0.000346625,0.000346625
75,648.684,0.85376,0.59252,1.03093,0.92756,0.84246,0.92033,0.68858,0.91404,0.52062,1.01861,0.00033425,0.00033425,0.00033425
76,656.953,0.85378,0.58509,1.02977,0.92408,0.85134,0.91825,0.68849,0.91456,0.52469,1.0251,0.000321875,0.000321875,0.000321875
